FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Class
106,2020-11-05,Falcon 9,3681.0,MEO,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
107,2020-11-16,Falcon 9,8191.079109589042,ISS,KSC LC 39A,Success,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,1
108,2020-11-21,Falcon 9,1440.0,PO,VAFB SLC 4E,Success,1,True,False,True,5e9e3032383ecb554034e7c9,,,,1
109,2020-11-25,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,7,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
110,2020-12-06,Falcon 9,2972.0,ISS,KSC LC 39A,Success,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
111,2020-12-13,Falcon 9,7000.0,GTO,CCSFS SLC 40,Success,7,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
113,2021-01-08,Falcon 9,3500.0,GTO,CCSFS SLC 40,Success,4,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
114,2021-01-20,Falcon 9,15600.0,VLEO,KSC LC 39A,Success,8,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
115,2021-01-24,Falcon 9,8191.079109589042,SSO,CCSFS SLC 40,Success,5,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
116,2021-02-04,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,5,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
117,2021-02-16,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Failure,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,0
118,2021-03-04,Falcon 9,15600.0,VLEO,KSC LC 39A,Success,8,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
119,2021-03-11,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,6,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
120,2021-03-14,Falcon 9,15600.0,VLEO,KSC LC 39A,Success,9,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
121,2021-03-24,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
122,2021-04-07,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,7,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
123,2021-04-23,Falcon 9,8191.079109589042,ISS,KSC LC 39A,Success,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
124,2021-04-29,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,7,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
125,2021-05-04,Falcon 9,15600.0,VLEO,KSC LC 39A,Success,9,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
126,2021-05-09,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,10,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
